id,name,text_path,audio_path,narrator,duration,author,text_url,audio_url,duration_hour,sample_rate,quality,word_count,num_sentences
e71cb20d,"đung-cua,-đan-ong-tu-đo",,,"{'id': 'c07c722c', 'name': 'Mộc', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/moc', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",2.8583,Nhi Hexe,https://thuviensachpdf.com/dung-cua-dan-ong-tu-do,https://sachnoiviet.net/sach-noi/dung-cua-dan-ong-tu-do,,,,,
f8eec0b5,22-quy-luat-bat-bien-trong-xay-dung-thuong-hieu,,,"{'id': '7174c0eb', 'name': 'Dong Do Studio', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/dong-do-studio', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",2.53,Al Ries,https://thuviensachpdf.com/22-quy-luat-bat-bien-trong-xay-dung-thuong-hieu,https://sachnoiviet.net/sach-noi/22-quy-luat-bat-bien-trong-xay-dung-thuong-hieu,,,,,
8eaf8434,đoi-ngan-đung-ngu-dai,,,"{'id': 'd2d16f10', 'name': 'Sách Nói Bản Full', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/sach-noi-ban-full', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",2.5667,Robin Sharma,https://thuviensachpdf.com/doi-ngan-dung-ngu-dai,https://sachnoiviet.net/sach-noi/doi-ngan-dung-ngu-dai,,,,,
eb8c72ba,bo-cau-khong-đua-thu,,,"{'id': 'bbc5c296', 'name': 'Hoàng Anh', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/hoang-anh', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",2.9806,Nguyễn Nhật Ánh,https://thuviensachpdf.com/bo-cau-khong-dua-thu,https://sachnoiviet.net/sach-noi/bo-cau-khong-dua-thu,,,,,
9ef5f0e7,ai-lay-mieng-pho-mat-cua-toi?,,,"{'id': 'ec3dbb9f', 'name': 'Lê Yến', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/le-yen', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",1.3025,Spencer Johnson,https://thuviensachpdf.com/ai-lay-mieng-pho-mat-cua-toi,https://sachnoiviet.net/sach-noi/ai-lay-mieng-pho-mat-cua-toi,,,,,
53da3fd9,10-đieu-khac-biet-nhat-giua-ke-thang-va-nguoi-thua,,,"{'id': '4423eb3f', 'name': 'Nguyễn Phước Hải', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/nguyen-phuoc-hai', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",1.5861,Keith Cameron Smith,https://thuviensachpdf.com/10-dieu-khac-biet-nhat-giua-ke-thang-va-nguoi-thua,https://sachnoiviet.net/sach-noi/10-dieu-khac-biet-nhat-giua-ke-thang-va-nguoi-thua,,,,,
e2d0c0d7,truyen-co-phat-giao,,,"{'id': '60ae792e', 'name': 'Giang Ngọc', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/giang-ngoc', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",2.5781,Diệu Hạnh Giao Trinh,https://thuviensachpdf.com/truyen-co-phat-giao,https://sachnoiviet.net/sach-noi/truyen-co-phat-giao,,,,,
3d5ac19e,ben-bo-thien-mac,,,"{'id': '81a38196', 'name': 'Ngọc Hiếu', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/ngoc-hieu', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",2.3964,Hà Ân,https://thuviensachpdf.com/ben-bo-thien-mac,https://sachnoiviet.net/sach-noi/ben-bo-thien-mac,,,,,
78e9f7ab,mac-ke-thien-ha-song-nhu-nguoi-nhat,,,"{'id': '0a4f3f61', 'name': 'Vicky', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/vicky', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",2.4039,Mari Tamagawa,https://thuviensachpdf.com/mac-ke-thien-ha-song-nhu-nguoi-nhat,https://sachnoiviet.net/sach-noi/mac-ke-thien-ha-song-nhu-nguoi-nhat,,,,,
173c8d52,cam-nang-phong-sinh,,,"{'id': 'b5fd57ae', 'name': 'Trường Tân', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/truong-tan', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",2.7056,Nguyễn Minh Tiến,https://thuviensachpdf.com/cam-nang-phong-sinh,https://sachnoiviet.net/sach-noi/cam-nang-phong-sinh,,,,,
