id,name,text_path,audio_path,narrator,duration,author,text_url,audio_url,duration_hour,sample_rate,quality,word_count,num_sentences
8f73703c,ca-the-gian-trong-tui,,,"{'id': '362d447e', 'name': 'Lê Duyên', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/le-duyen', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",7.5556,James Hadley Chase,https://thuviensachpdf.com/ca-the-gian-trong-tui,https://sachnoiviet.net/sach-noi/ca-the-gian-trong-tui,,,,,
fbcc816e,yeu,,,"{'id': '0332ab7b', 'name': 'Trái Táo', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/trai-tao', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",9.5328,Chu Tử,https://thuviensachpdf.com/yeu,https://sachnoiviet.net/sach-noi/yeu,,,,,
121b100b,"cang-manh-me,-cang-diu-dang",,,"{'id': '31e98ab2', 'name': 'Unknown', 'dialect': None, 'gender': None, 'age': None, 'url': 'Unknown', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",6.9611,Lý Ái Linh,https://thuviensachpdf.com/cang-manh-me-cang-diu-dang,https://sachnoiviet.net/sach-noi/cang-manh-me-cang-diu-dang,,,,,
87152919,lua-thieu-rung-hanh,,,"{'id': '8be053b3', 'name': 'Unknown', 'dialect': None, 'gender': None, 'age': None, 'url': 'Unknown', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",13.5222,Tùng Ưng,https://thuviensachpdf.com/lua-thieu-rung-hanh,https://sachnoiviet.net/sach-noi/lua-thieu-rung-hanh,,,,,
c6ac6d25,đao-giau-vang,,,"{'id': '6e2e562a', 'name': 'Trung Nghị', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/trung-nghi', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",6.7892,Robert Louis Stevenson,https://thuviensachpdf.com/dao-giau-vang,https://sachnoiviet.net/sach-noi/dao-giau-vang,,,,,
111c8777,nghe-thuat-hieu-thau-tam-ly-nguoi-khac,,,"{'id': '17e295c7', 'name': 'Trương Thị Đệ', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/truong-thi-de', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",5.6392,Nguyễn Công Khanh - Nguyễn Minh Đức,https://thuviensachpdf.com/nghe-thuat-hieu-thau-tam-ly-nguoi-khac,https://sachnoiviet.net/sach-noi/nghe-thuat-hieu-thau-tam-ly-nguoi-khac,,,,,
83cf8c73,thang-gu-nha-tho-đuc-ba,,,"{'id': 'a2312d00', 'name': 'Thủy Tiên', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/thuy-tien', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",19.5594,Victor Hugo,https://thuviensachpdf.com/thang-gu-nha-tho-duc-ba,https://sachnoiviet.net/sach-noi/thang-gu-nha-tho-duc-ba,,,,,
04c3c931,bi-mat-cua-vua-solomon,,,"{'id': '0049bb83', 'name': 'Thùy Duyên', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/thuy-duyen', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",4.3306,Bruce Fleet - Alton Gansky,https://thuviensachpdf.com/bi-mat-cua-vua-solomon,https://sachnoiviet.net/sach-noi/bi-mat-cua-vua-solomon,,,,,
dd81e548,bau-vat-cua-đoi,,,"{'id': 'ebfa00a7', 'name': 'Ngọc Ánh', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/ngoc-anh', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",33.6892,Mạc Ngôn,https://thuviensachpdf.com/bau-vat-cua-doi,https://sachnoiviet.net/sach-noi/bau-vat-cua-doi,,,,,
f51a5e5a,can-đam---bien-thach-thuc-thanh-suc-manh,,,"{'id': 'c3c4e32d', 'name': 'Định Phương', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/dinh-phuong', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",6.8381,Osho,https://thuviensachpdf.com/can-dam-bien-thach-thuc-thanh-suc-manh,https://sachnoiviet.net/sach-noi/can-dam-bien-thach-thuc-thanh-suc-manh,,,,,
